sample_id,class_name,image_count,image_paths,conflicting_classes,conflict_status
1008,Silk,4,"[""Silk/1008/im_1.png"", ""Silk/1008/im_2.png"", ""Silk/1008/im_3.png"", ""Silk/1008/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1009,Satin,4,"[""Satin/1009/im_1.png"", ""Satin/1009/im_2.png"", ""Satin/1009/im_3.png"", ""Satin/1009/im_4.png""]","[""Silk""]",SAME_SAMPLE_DIFFERENT_LABEL
1009,Silk,4,"[""Silk/1009/im_1.png"", ""Silk/1009/im_2.png"", ""Silk/1009/im_3.png"", ""Silk/1009/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1010,Satin,4,"[""Satin/1010/im_1.png"", ""Satin/1010/im_2.png"", ""Satin/1010/im_3.png"", ""Satin/1010/im_4.png""]","[""Silk""]",SAME_SAMPLE_DIFFERENT_LABEL
1010,Silk,4,"[""Silk/1010/im_1.png"", ""Silk/1010/im_2.png"", ""Silk/1010/im_3.png"", ""Silk/1010/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1011,Satin,4,"[""Satin/1011/im_1.png"", ""Satin/1011/im_2.png"", ""Satin/1011/im_3.png"", ""Satin/1011/im_4.png""]","[""Silk""]",SAME_SAMPLE_DIFFERENT_LABEL
1011,Silk,4,"[""Silk/1011/im_1.png"", ""Silk/1011/im_2.png"", ""Silk/1011/im_3.png"", ""Silk/1011/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1012,Satin,4,"[""Satin/1012/im_1.png"", ""Satin/1012/im_2.png"", ""Satin/1012/im_3.png"", ""Satin/1012/im_4.png""]","[""Silk""]",SAME_SAMPLE_DIFFERENT_LABEL
1012,Silk,4,"[""Silk/1012/im_1.png"", ""Silk/1012/im_2.png"", ""Silk/1012/im_3.png"", ""Silk/1012/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1013,Satin,4,"[""Satin/1013/im_1.png"", ""Satin/1013/im_2.png"", ""Satin/1013/im_3.png"", ""Satin/1013/im_4.png""]","[""Silk""]",SAME_SAMPLE_DIFFERENT_LABEL
1013,Silk,4,"[""Silk/1013/im_1.png"", ""Silk/1013/im_2.png"", ""Silk/1013/im_3.png"", ""Silk/1013/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1014,Satin,4,"[""Satin/1014/im_1.png"", ""Satin/1014/im_2.png"", ""Satin/1014/im_3.png"", ""Satin/1014/im_4.png""]","[""Silk""]",SAME_SAMPLE_DIFFERENT_LABEL
1014,Silk,4,"[""Silk/1014/im_1.png"", ""Silk/1014/im_2.png"", ""Silk/1014/im_3.png"", ""Silk/1014/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1015,Satin,4,"[""Satin/1015/im_1.png"", ""Satin/1015/im_2.png"", ""Satin/1015/im_3.png"", ""Satin/1015/im_4.png""]","[""Silk""]",SAME_SAMPLE_DIFFERENT_LABEL
1015,Silk,4,"[""Silk/1015/im_1.png"", ""Silk/1015/im_2.png"", ""Silk/1015/im_3.png"", ""Silk/1015/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1016,Satin,4,"[""Satin/1016/im_1.png"", ""Satin/1016/im_2.png"", ""Satin/1016/im_3.png"", ""Satin/1016/im_4.png""]","[""Silk""]",SAME_SAMPLE_DIFFERENT_LABEL
1016,Silk,4,"[""Silk/1016/im_1.png"", ""Silk/1016/im_2.png"", ""Silk/1016/im_3.png"", ""Silk/1016/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1017,Satin,4,"[""Satin/1017/im_1.png"", ""Satin/1017/im_2.png"", ""Satin/1017/im_3.png"", ""Satin/1017/im_4.png""]","[""Silk""]",SAME_SAMPLE_DIFFERENT_LABEL
1017,Silk,4,"[""Silk/1017/im_1.png"", ""Silk/1017/im_2.png"", ""Silk/1017/im_3.png"", ""Silk/1017/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1028,Crepe,4,"[""Crepe/1028/im_1.png"", ""Crepe/1028/im_2.png"", ""Crepe/1028/im_3.png"", ""Crepe/1028/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1028,Satin,4,"[""Satin/1028/im_1.png"", ""Satin/1028/im_2.png"", ""Satin/1028/im_3.png"", ""Satin/1028/im_4.png""]","[""Crepe""]",SAME_SAMPLE_DIFFERENT_LABEL
1029,Crepe,4,"[""Crepe/1029/im_1.png"", ""Crepe/1029/im_2.png"", ""Crepe/1029/im_3.png"", ""Crepe/1029/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1029,Satin,4,"[""Satin/1029/im_1.png"", ""Satin/1029/im_2.png"", ""Satin/1029/im_3.png"", ""Satin/1029/im_4.png""]","[""Crepe""]",SAME_SAMPLE_DIFFERENT_LABEL
1030,Crepe,4,"[""Crepe/1030/im_1.png"", ""Crepe/1030/im_2.png"", ""Crepe/1030/im_3.png"", ""Crepe/1030/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1030,Satin,4,"[""Satin/1030/im_1.png"", ""Satin/1030/im_2.png"", ""Satin/1030/im_3.png"", ""Satin/1030/im_4.png""]","[""Crepe""]",SAME_SAMPLE_DIFFERENT_LABEL
1031,Crepe,4,"[""Crepe/1031/im_1.png"", ""Crepe/1031/im_2.png"", ""Crepe/1031/im_3.png"", ""Crepe/1031/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1031,Satin,4,"[""Satin/1031/im_1.png"", ""Satin/1031/im_2.png"", ""Satin/1031/im_3.png"", ""Satin/1031/im_4.png""]","[""Crepe""]",SAME_SAMPLE_DIFFERENT_LABEL
1032,Crepe,4,"[""Crepe/1032/im_1.png"", ""Crepe/1032/im_2.png"", ""Crepe/1032/im_3.png"", ""Crepe/1032/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1032,Satin,4,"[""Satin/1032/im_1.png"", ""Satin/1032/im_2.png"", ""Satin/1032/im_3.png"", ""Satin/1032/im_4.png""]","[""Crepe""]",SAME_SAMPLE_DIFFERENT_LABEL
1033,Crepe,4,"[""Crepe/1033/im_1.png"", ""Crepe/1033/im_2.png"", ""Crepe/1033/im_3.png"", ""Crepe/1033/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
1033,Satin,4,"[""Satin/1033/im_1.png"", ""Satin/1033/im_2.png"", ""Satin/1033/im_3.png"", ""Satin/1033/im_4.png""]","[""Crepe""]",SAME_SAMPLE_DIFFERENT_LABEL
770,Polyester,4,"[""Polyester/770/im_1.png"", ""Polyester/770/im_2.png"", ""Polyester/770/im_3.png"", ""Polyester/770/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
770,Satin,4,"[""Satin/770/im_1.png"", ""Satin/770/im_2.png"", ""Satin/770/im_3.png"", ""Satin/770/im_4.png""]","[""Polyester""]",SAME_SAMPLE_DIFFERENT_LABEL
771,Polyester,4,"[""Polyester/771/im_1.png"", ""Polyester/771/im_2.png"", ""Polyester/771/im_3.png"", ""Polyester/771/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
771,Satin,4,"[""Satin/771/im_1.png"", ""Satin/771/im_2.png"", ""Satin/771/im_3.png"", ""Satin/771/im_4.png""]","[""Polyester""]",SAME_SAMPLE_DIFFERENT_LABEL
772,Polyester,4,"[""Polyester/772/im_1.png"", ""Polyester/772/im_2.png"", ""Polyester/772/im_3.png"", ""Polyester/772/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
772,Satin,4,"[""Satin/772/im_1.png"", ""Satin/772/im_2.png"", ""Satin/772/im_3.png"", ""Satin/772/im_4.png""]","[""Polyester""]",SAME_SAMPLE_DIFFERENT_LABEL
773,Polyester,4,"[""Polyester/773/im_1.png"", ""Polyester/773/im_2.png"", ""Polyester/773/im_3.png"", ""Polyester/773/im_4.png""]","[""Satin""]",SAME_SAMPLE_DIFFERENT_LABEL
773,Satin,4,"[""Satin/773/im_1.png"", ""Satin/773/im_2.png"", ""Satin/773/im_3.png"", ""Satin/773/im_4.png""]","[""Polyester""]",SAME_SAMPLE_DIFFERENT_LABEL
998,Crepe,4,"[""Crepe/998/im_1.png"", ""Crepe/998/im_2.png"", ""Crepe/998/im_3.png"", ""Crepe/998/im_4.png""]","[""Polyester""]",SAME_SAMPLE_DIFFERENT_LABEL
998,Polyester,4,"[""Polyester/998/im_1.png"", ""Polyester/998/im_2.png"", ""Polyester/998/im_3.png"", ""Polyester/998/im_4.png""]","[""Crepe""]",SAME_SAMPLE_DIFFERENT_LABEL
999,Crepe,4,"[""Crepe/999/im_1.png"", ""Crepe/999/im_2.png"", ""Crepe/999/im_3.png"", ""Crepe/999/im_4.png""]","[""Polyester""]",SAME_SAMPLE_DIFFERENT_LABEL
999,Polyester,4,"[""Polyester/999/im_1.png"", ""Polyester/999/im_2.png"", ""Polyester/999/im_3.png"", ""Polyester/999/im_4.png""]","[""Crepe""]",SAME_SAMPLE_DIFFERENT_LABEL
