sample_id,original_folder,original_tag_text,material_components,percentages,garment_type,composition_evidence,source_path,mapped_class,status,review_reasons,image_count,views,exact_duplicate_groups,near_duplicate_groups
1097,Blended,"Blouse
Cotton 84 Polyester 16
",Cotton; Polyester,"{""Cotton"": 84.0, ""Polyester"": 16.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1097,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1098,Blended,"Blouse
Cotton 84 Polyester 16
",Cotton; Polyester,"{""Cotton"": 84.0, ""Polyester"": 16.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1098,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1102,Blended,"Blouse
Cotton 60 Polyester 40
",Cotton; Polyester,"{""Cotton"": 60.0, ""Polyester"": 40.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1102,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1103,Blended,"Blouse
Cotton 60 Polyester 40
",Cotton; Polyester,"{""Cotton"": 60.0, ""Polyester"": 40.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1103,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1104,Blended,"Blouse
Cotton 60 Polyester 40
",Cotton; Polyester,"{""Cotton"": 60.0, ""Polyester"": 40.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1104,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1105,Blended,"Blouse
Cotton 90 Polyester 10
",Cotton; Polyester,"{""Cotton"": 90.0, ""Polyester"": 10.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1105,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1106,Blended,"Blouse
Cotton 90 Polyester 10
",Cotton; Polyester,"{""Cotton"": 90.0, ""Polyester"": 10.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1106,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1111,Blended,"Blouse
Cotton 86 Polyester 14
",Cotton; Polyester,"{""Cotton"": 86.0, ""Polyester"": 14.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1111,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1112,Blended,"Blouse
Cotton 86 Polyester 14
",Cotton; Polyester,"{""Cotton"": 86.0, ""Polyester"": 14.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1112,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1113,Blended,"Blouse
Cotton 86 Polyester 14
",Cotton; Polyester,"{""Cotton"": 86.0, ""Polyester"": 14.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1113,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1114,Blended,"Blouse
Cotton 86 Polyester 14
",Cotton; Polyester,"{""Cotton"": 86.0, ""Polyester"": 14.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1114,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1115,Blended,"Blouse
Cotton 85 Polyester 15
",Cotton; Polyester,"{""Cotton"": 85.0, ""Polyester"": 15.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1115,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1116,Blended,"Blouse
Cotton 85 Polyester 15
",Cotton; Polyester,"{""Cotton"": 85.0, ""Polyester"": 15.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1116,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1130,Blended,"Blouse
Cotton 90 Polyester 10
",Cotton; Polyester,"{""Cotton"": 90.0, ""Polyester"": 10.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1130,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1131,Blended,"Blouse
Cotton 90 Polyester 10
",Cotton; Polyester,"{""Cotton"": 90.0, ""Polyester"": 10.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1131,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1132,Blended,"Blouse
Cotton 90 Polyester 10
",Cotton; Polyester,"{""Cotton"": 90.0, ""Polyester"": 10.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1132,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1133,Blended,"Blouse
Cotton 90 Polyester 10
",Cotton; Polyester,"{""Cotton"": 90.0, ""Polyester"": 10.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1133,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
115,Blended,"T-shirt
Cotton 88 Elastane 12
",Cotton; Elastane,"{""Cotton"": 88.0, ""Elastane"": 12.0}",T-shirt,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/115,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
116,Blended,"T-shirt
Cotton 88 Elastane 12
",Cotton; Elastane,"{""Cotton"": 88.0, ""Elastane"": 12.0}",T-shirt,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/116,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
117,Blended,"T-shirt
Cotton 88 Elastane 12
",Cotton; Elastane,"{""Cotton"": 88.0, ""Elastane"": 12.0}",T-shirt,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/117,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1173,Blended,"T-shirt
Cotton 60 Acrylic 40  
",Acrylic; Cotton,"{""Cotton"": 60.0, ""Acrylic"": 40.0}",T-shirt,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1173,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1174,Blended,"Blouse
Cotton 60 Acrylic 40  
",Acrylic; Cotton,"{""Cotton"": 60.0, ""Acrylic"": 40.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1174,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1175,Blended,"Blouse
Cotton 60 Acrylic 40  
",Acrylic; Cotton,"{""Cotton"": 60.0, ""Acrylic"": 40.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1175,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1176,Blended,"Blouse
Cotton 60 Acrylic 40  
",Acrylic; Cotton,"{""Cotton"": 60.0, ""Acrylic"": 40.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1176,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1177,Blended,"Blouse
Cotton 60 Acrylic 40  
",Acrylic; Cotton,"{""Cotton"": 60.0, ""Acrylic"": 40.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1177,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1178,Blended,"Blouse
Cotton 60 Acrylic 40  
",Acrylic; Cotton,"{""Cotton"": 60.0, ""Acrylic"": 40.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1178,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1186,Blended,"T-shirt
Cotton 65 Polyester 35
",Cotton; Polyester,"{""Cotton"": 65.0, ""Polyester"": 35.0}",T-shirt,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1186,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1187,Blended,"T-shirt
Cotton 65 Polyester 35
",Cotton; Polyester,"{""Cotton"": 65.0, ""Polyester"": 35.0}",T-shirt,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1187,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1189,Blended,"Pants
Cotton 98 Elastane 2
",Cotton; Elastane,"{""Cotton"": 98.0, ""Elastane"": 2.0}",Pants,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1189,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1208,Blended,"Shorts
Cotton 75 Polyester 25
",Cotton; Polyester,"{""Cotton"": 75.0, ""Polyester"": 25.0}",Shorts,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1208,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1209,Blended,"Shorts
Cotton 75 Polyester 25
",Cotton; Polyester,"{""Cotton"": 75.0, ""Polyester"": 25.0}",Shorts,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1209,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1257,Blended,"Jacket
Cotton 55 Acrylic 34 Polyester 10 Elastane 1 
",Acrylic; Cotton; Elastane; Polyester,"{""Cotton"": 55.0, ""Acrylic"": 34.0, ""Polyester"": 10.0, ""Elastane"": 1.0}",Jacket,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1257,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1258,Blended,"Jacket
Cotton 55 Acrylic 34 Polyester 10 Elastane 1 

",Acrylic; Cotton; Elastane; Polyester,"{""Cotton"": 55.0, ""Acrylic"": 34.0, ""Polyester"": 10.0, ""Elastane"": 1.0}",Jacket,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1258,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
126,Blended,"Shorts
Naylon 90 Elastane 10  
",Elastane,"{""Elastane"": 10.0}",Shorts,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/126,,REJECTED,UNSUPPORTED_MATERIAL,4,im_1; im_2; im_3; im_4,,
1265,Blended,"Blouse
Cotton 60 Polyester 40
",Cotton; Polyester,"{""Cotton"": 60.0, ""Polyester"": 40.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1265,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1266,Blended,"Blouse
Cotton 60 Polyester 40
",Cotton; Polyester,"{""Cotton"": 60.0, ""Polyester"": 40.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1266,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1267,Blended,"Blouse
Cotton 60 Polyester 40
",Cotton; Polyester,"{""Cotton"": 60.0, ""Polyester"": 40.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1267,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1268,Blended,"Blouse
Polyester 50 Cotton 38 Viscose 12
",Cotton; Polyester; Viscose,"{""Polyester"": 50.0, ""Cotton"": 38.0, ""Viscose"": 12.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1268,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1269,Blended,"Blouse
Polyester 50 Cotton 38 Viscose 12
",Cotton; Polyester; Viscose,"{""Polyester"": 50.0, ""Cotton"": 38.0, ""Viscose"": 12.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1269,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
127,Blended,"Shorts
Naylon 90 Elastane 10
",Elastane,"{""Elastane"": 10.0}",Shorts,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/127,,REJECTED,UNSUPPORTED_MATERIAL,4,im_1; im_2; im_3; im_4,,
13,Blended,"Other
Wool 45 Elastane 10 Acrylic 30 Cashmere 15
",Acrylic; Cashmere; Elastane; Wool,"{""Wool"": 45.0, ""Elastane"": 10.0, ""Acrylic"": 30.0, ""Cashmere"": 15.0}",Other,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/13,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
133,Blended,"Blouse
Rayon 80 Naylon 18 Elastane 2 
",Elastane; Rayon,"{""Rayon"": 80.0, ""Elastane"": 2.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/133,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
134,Blended,"Shirt
Rayon 80 Naylon 18 Elastane 2
",Elastane; Rayon,"{""Rayon"": 80.0, ""Elastane"": 2.0}",Shirt,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/134,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
135,Blended,"Shirt
Rayon 80 Naylon 18 Elastane 2
",Elastane; Rayon,"{""Rayon"": 80.0, ""Elastane"": 2.0}",Shirt,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/135,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1367,Blended,"Pants
Linen 52 Cotton 48 
",Cotton; Linen,"{""Linen"": 52.0, ""Cotton"": 48.0}",Pants,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1367,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1368,Blended,"Pants
Linen 52 Cotton 48 
",Cotton; Linen,"{""Linen"": 52.0, ""Cotton"": 48.0}",Pants,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1368,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1369,Blended,"Pants
Linen 52 Cotton 48 
",Cotton; Linen,"{""Linen"": 52.0, ""Cotton"": 48.0}",Pants,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1369,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,Blended/1369; Blended/1370,Blended/1369; Blended/1370
1370,Blended,"Pants
Linen 52 Cotton 48
",Cotton; Linen,"{""Linen"": 52.0, ""Cotton"": 48.0}",Pants,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1370,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,Blended/1369; Blended/1370,Blended/1369; Blended/1370
14,Blended,"Other
Cotton 45 Viscose 55
",Cotton; Viscose,"{""Cotton"": 45.0, ""Viscose"": 55.0}",Other,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/14,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1416,Blended,"Blouse
Wool 60 Acrylic 40 knitwear      
",Acrylic; Wool,"{""Wool"": 60.0, ""Acrylic"": 40.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1416,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1417,Blended,"Blouse
Wool 60 Acrylic 40 knitwear   
",Acrylic; Wool,"{""Wool"": 60.0, ""Acrylic"": 40.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1417,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1455,Blended,"Blouse
Cotton 80 Polyester 20 Sweatshirt
",Cotton; Polyester,"{""Cotton"": 80.0, ""Polyester"": 20.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1455,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1456,Blended,"Blouse
Cotton 80 Polyester 20 Sweatshirt
",Cotton; Polyester,"{""Cotton"": 80.0, ""Polyester"": 20.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1456,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1457,Blended,"Blouse
Cotton 80 Polyester 20 Sweatshirt
",Cotton; Polyester,"{""Cotton"": 80.0, ""Polyester"": 20.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1457,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1465,Blended,"Pants
Cotton 55 Polyester 45 Sweatpants   
",Cotton; Polyester,"{""Cotton"": 55.0, ""Polyester"": 45.0}",Pants,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1465,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1466,Blended,"Pants
Cotton 55 Polyester 45 Sweatpants",Cotton; Polyester,"{""Cotton"": 55.0, ""Polyester"": 45.0}",Pants,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1466,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
1529,Blended,"Blouse
Cotton 80 Polyester 20 Sweatshirt",Cotton; Polyester,"{""Cotton"": 80.0, ""Polyester"": 20.0}",Blouse,manufacturer-style tag.txt,Backend/datasets/ibug_fabrics/Blended/1529,,REVIEW,MIXED_COMPOSITION_REVIEW,4,im_1; im_2; im_3; im_4,,
